_key	name	interactionTypeName	referenceCitation
3684120	Lampea pancerina	parasiteOf	weinstein2016
921128	Edwardsia sp.	parasiteOf	weinstein2016
281482	Pandea sp. PC-2008	parasiteOf	weinstein2016
180218	Hydrichthys	parasiteOf	weinstein2016
5675866	Larsonia	parasiteOf	weinstein2016
412087	Myxozoa	parasiteOf	weinstein2016
212026	Polypodium hydriforme	parasiteOf	weinstein2016
797245	Meara sp. THRL1	parasiteOf	weinstein2016
343610	Aphanostoma	parasiteOf	weinstein2016
351947	Avagina	parasiteOf	weinstein2016
3663489	Faerlea echinocardii	parasiteOf	weinstein2016
676912	Otocelis	parasiteOf	weinstein2016
180262	Amphidinium sp. THK-2011 ex Waminoa sp. 1	parasiteOf	weinstein2016
5676666	Mermithina	parasiteOf	weinstein2016
3584400	Theristus polychaetophilus	parasiteOf	weinstein2016
3592153	Benthimermithidae	parasiteOf	weinstein2016
4997354	Smithsoninema inaequale	parasiteOf	weinstein2016
3587986	Carabonematidae	parasiteOf	weinstein2016
142950	Drilonematidae	parasiteOf	weinstein2016
5926563	Daubaylia potomaca	parasiteOf	weinstein2016
5003991	Acugutturidae	parasiteOf	weinstein2016
1002126	Aphelenchoididae	parasiteOf	weinstein2016
28496	Ektaphelenchidae	parasiteOf	weinstein2016
3593468	Entaphelenchidae	parasiteOf	weinstein2016
93742	Neotylenchidae	parasiteOf	weinstein2016
414486	Parasitylenchidae	parasiteOf	weinstein2016
784546	Sphaerulariidae	parasiteOf	weinstein2016
655382	Agfidae	parasiteOf	weinstein2016
636868	Angiostomatidae	parasiteOf	weinstein2016
5676727	Peloderidae	parasiteOf	weinstein2016
219570	Heterorhabditidae	parasiteOf	weinstein2016
920943	Rhabditidae	parasiteOf	weinstein2016
895065	Strongyloidea	parasiteOf	weinstein2016
5673367	Spirurina incertae sedis	parasiteOf	weinstein2016
189836	Nematomorpha	parasiteOf	weinstein2016
496176	Tetrakentron synaptae	parasiteOf	weinstein2016
857096	Echiniscoides hoepneri	parasiteOf	weinstein2016
822244	Phoxichilidium femoratum	parasiteOf	weinstein2016
425509	Ascorhynchus sp. JA-2009	parasiteOf	weinstein2016
964154	Phoxichilidiidae	parasiteOf	weinstein2016
5703531	Ammothea sp. RS-2014	parasiteOf	weinstein2016
791908	Ammothella spinifera	parasiteOf	weinstein2016
139974	Macrodinychus sellnicki	parasiteOf	weinstein2016
3521624	Proctolaelaps nauphoetae	parasiteOf	weinstein2016
698934	Otopheidomenidae	parasiteOf	weinstein2016
6167211	Blattisocius patagiorum	parasiteOf	weinstein2016
510222	Dermanyssoidea	parasiteOf	weinstein2016
